PassengerId,Pclass,Gender,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
332,1,0,45.5,0,0,28.5,False,True
734,2,0,23.0,0,0,13.0,False,True
383,3,0,32.0,0,0,7.925,False,True
705,3,0,26.0,1,0,7.8542,False,True
814,3,1,6.0,4,2,31.275,False,True
119,1,0,24.0,0,1,247.5208,False,False
537,1,0,45.0,0,0,26.55,False,True
362,2,0,29.0,1,0,27.7208,False,False
30,3,0,28.0,0,0,7.8958,False,True
56,1,0,28.0,0,0,35.5,False,True
866,2,1,42.0,0,0,13.0,False,True
596,3,0,36.0,1,1,24.15,False,True
240,2,0,33.0,0,0,12.275,False,True
722,3,0,17.0,1,0,7.0542,False,True
82,3,0,29.0,0,0,9.5,False,True
260,2,1,50.0,0,1,26.0,False,True
487,1,1,35.0,1,0,90.0,False,True
717,1,1,38.0,0,0,227.525,False,False
801,2,0,34.0,0,0,13.0,False,True
782,1,1,17.0,1,0,57.0,False,True
543,3,1,11.0,4,2,31.275,False,True
327,3,0,61.0,0,0,6.2375,False,True
535,3,1,30.0,0,0,8.6625,False,True
536,2,1,7.0,0,2,26.25,False,True
484,3,1,63.0,0,0,9.5875,False,True
763,3,0,20.0,0,0,7.2292,False,False
534,3,1,28.0,0,2,22.3583,False,False
714,3,0,29.0,0,0,9.4833,False,True
391,1,0,36.0,1,2,120.0,False,True
496,3,0,28.0,0,0,14.4583,False,False
483,3,0,50.0,0,0,8.05,False,True
378,1,0,27.0,0,2,211.5,False,False
366,3,0,30.0,0,0,7.25,False,True
413,1,1,33.0,1,0,90.0,True,False
469,3,0,28.0,0,0,7.725,True,False
410,3,1,28.0,3,1,25.4667,False,True
8,3,0,2.0,3,1,21.075,False,True
581,2,1,25.0,1,1,30.0,False,True
156,1,0,51.0,0,1,61.3792,False,False
881,2,1,25.0,0,1,26.0,False,True
426,3,0,28.0,0,0,7.25,False,True
102,3,0,28.0,0,0,7.8958,False,True
200,2,1,24.0,0,0,13.0,False,True
425,3,0,18.0,1,1,20.2125,False,True
299,1,0,28.0,0,0,30.5,False,True
885,3,0,25.0,0,0,7.05,False,True
248,2,1,24.0,0,2,14.5,False,True
479,3,0,22.0,0,0,7.5208,False,True
306,1,0,0.92,1,2,151.55,False,True
317,2,1,24.0,1,0,26.0,False,True
3,3,1,26.0,0,0,7.925,False,True
406,2,0,34.0,1,0,21.0,False,True
743,1,1,21.0,2,2,262.375,False,False
261,3,0,28.0,0,0,7.75,True,False
368,3,1,28.0,0,0,7.2292,False,False
159,3,0,28.0,0,0,8.6625,False,True
555,3,1,22.0,0,0,7.775,False,True
830,1,1,62.0,0,0,80.0,False,True
678,3,1,18.0,0,0,9.8417,False,True
381,1,1,42.0,0,0,227.525,False,False
627,2,0,57.0,0,0,12.35,True,False
303,3,0,19.0,0,0,0.0,False,True
433,2,1,42.0,1,0,26.0,False,True
523,3,0,28.0,0,0,7.225,False,False
405,3,1,20.0,0,0,8.6625,False,True
844,3,0,34.5,0,0,6.4375,False,False
356,3,0,28.0,0,0,9.5,False,True
465,3,0,28.0,0,0,8.05,False,True
754,3,0,23.0,0,0,7.8958,False,True
213,3,0,22.0,0,0,7.25,False,True
450,1,0,52.0,0,0,30.5,False,True
80,3,1,30.0,0,0,12.475,False,True
149,2,0,36.5,0,2,26.0,False,True
429,3,0,28.0,0,0,7.75,True,False
61,3,0,22.0,0,0,7.2292,False,False
661,1,0,50.0,2,0,133.65,False,True
805,3,0,27.0,0,0,6.975,False,True
589,3,0,22.0,0,0,8.05,False,True
766,1,1,51.0,1,0,77.9583,False,True
266,2,0,36.0,0,0,10.5,False,True
134,2,1,29.0,1,0,26.0,False,True
709,1,1,22.0,0,0,151.55,False,True
545,1,0,50.0,1,0,106.425,False,False
347,2,1,40.0,0,0,13.0,False,True
822,3,0,27.0,0,0,8.6625,False,True
634,1,0,28.0,0,0,0.0,False,True
457,1,0,65.0,0,0,26.55,False,True
501,3,0,17.0,0,0,8.6625,False,True
431,1,0,28.0,0,0,26.55,False,True
446,1,0,4.0,0,2,81.8583,False,True
651,3,0,28.0,0,0,7.8958,False,True
173,3,1,1.0,1,1,11.1333,False,True
451,2,0,36.0,1,2,27.75,False,True
315,2,0,43.0,1,1,26.25,False,True
333,1,0,38.0,0,1,153.4625,False,True
802,2,1,31.0,1,1,26.25,False,True
91,3,0,29.0,0,0,8.05,False,True
835,3,0,18.0,0,0,8.3,False,True
182,2,0,28.0,0,0,15.05,False,False
582,1,1,39.0,1,1,110.8833,False,False
796,2,0,39.0,0,0,13.0,False,True
70,3,0,26.0,2,0,8.6625,False,True
132,3,0,20.0,0,0,7.05,False,True
335,1,1,28.0,1,0,133.65,False,True
598,3,0,49.0,0,0,0.0,False,True
136,2,0,23.0,0,0,15.0458,False,False
165,3,0,1.0,4,1,39.6875,False,True
29,3,1,28.0,0,0,7.8792,True,False
784,3,0,28.0,1,2,23.45,False,True
194,2,0,3.0,1,1,26.0,False,True
870,3,0,4.0,1,1,11.1333,False,True
716,3,0,19.0,0,0,7.65,False,True
526,3,0,40.5,0,0,7.75,True,False
382,3,1,1.0,0,2,15.7417,False,False
141,3,1,28.0,0,2,15.2458,False,False
174,3,0,21.0,0,0,7.925,False,True
7,1,0,54.0,0,0,51.8625,False,True
719,3,0,28.0,0,0,15.5,True,False
686,2,0,25.0,1,2,41.5792,False,False
74,3,0,26.0,1,0,14.4542,False,False
883,3,1,22.0,0,0,10.5167,False,True
329,3,1,31.0,1,1,20.525,False,True
454,1,0,49.0,1,0,89.1042,False,False
146,2,0,19.0,1,1,36.75,False,True
235,2,0,24.0,0,0,10.5,False,True
221,3,0,16.0,0,0,8.05,False,True
371,1,0,25.0,1,0,55.4417,False,False
812,3,0,39.0,0,0,24.15,False,True
133,3,1,47.0,1,0,14.5,False,True
695,1,0,60.0,0,0,26.55,False,True
865,2,0,24.0,0,0,13.0,False,True
186,1,0,28.0,0,0,50.0,False,True
42,2,1,27.0,1,0,21.0,False,True
548,2,0,28.0,0,0,13.8625,False,False
109,3,0,38.0,0,0,7.8958,False,True
604,3,0,44.0,0,0,8.05,False,True
57,2,1,21.0,0,0,10.5,False,True
395,3,1,24.0,0,2,16.7,False,True
707,2,1,45.0,0,0,13.5,False,True
550,2,0,8.0,1,1,36.75,False,True
25,3,1,8.0,3,1,21.075,False,True
352,1,0,28.0,0,0,35.0,False,True
430,3,0,32.0,0,0,8.05,False,True
435,1,0,50.0,1,0,55.9,False,True
52,3,0,21.0,0,0,7.8,False,True
527,2,1,50.0,0,0,10.5,False,True
817,3,1,23.0,0,0,7.925,False,True
570,3,0,32.0,0,0,7.8542,False,True
265,3,1,28.0,0,0,7.75,True,False
437,3,1,21.0,2,2,34.375,False,True
614,3,0,28.0,0,0,7.75,True,False
694,3,0,25.0,0,0,7.225,False,False
353,3,0,15.0,1,1,7.2292,False,False
19,3,1,31.0,1,0,18.0,False,True
667,2,0,25.0,0,0,13.0,False,True
583,2,0,54.0,0,0,26.0,False,True
84,1,0,28.0,0,0,47.1,False,True
62,1,1,38.0,0,0,80.0,False,True
273,2,1,41.0,0,1,19.5,False,True
286,3,0,33.0,0,0,8.6625,False,False
696,2,0,52.0,0,0,13.5,False,True
747,3,0,16.0,1,1,20.25,False,True
13,3,0,20.0,0,0,8.05,False,True
183,3,0,9.0,4,2,31.3875,False,True
445,3,0,28.0,0,0,8.1125,False,True
553,3,0,28.0,0,0,7.8292,True,False
224,3,0,28.0,0,0,7.8958,False,True
514,1,1,54.0,1,0,59.4,False,False
629,3,0,26.0,0,0,7.8958,False,True
588,1,0,60.0,1,1,79.2,False,False
693,3,0,28.0,0,0,56.4958,False,True
524,1,1,44.0,0,1,57.9792,False,False
665,3,0,20.0,1,0,7.925,False,True
177,3,0,28.0,3,1,25.4667,False,True
842,2,0,16.0,0,0,10.5,False,True
679,3,1,43.0,1,6,46.9,False,True
164,3,0,17.0,0,0,8.6625,False,True
249,1,0,37.0,1,1,52.5542,False,True
571,2,0,62.0,0,0,10.5,False,True
788,3,0,8.0,4,1,29.125,True,False
75,3,0,32.0,0,0,56.4958,False,True
114,3,1,20.0,1,0,9.825,False,True
636,2,1,28.0,0,0,13.0,False,True
502,3,1,21.0,0,0,7.75,True,False
105,3,0,37.0,2,0,7.925,False,True
115,3,1,17.0,0,0,14.4583,False,False
369,3,1,28.0,0,0,7.75,True,False
93,1,0,46.0,1,0,61.175,False,True
498,3,0,28.0,0,0,15.1,False,True
90,3,0,24.0,0,0,8.05,False,True
337,1,0,29.0,1,0,66.6,False,True
880,1,1,56.0,0,1,83.1583,False,False
818,2,0,31.0,1,1,37.0042,False,False
829,3,0,28.0,0,0,7.75,True,False
544,2,0,32.0,1,0,26.0,False,True
549,3,0,33.0,1,1,20.525,False,True
95,3,0,59.0,0,0,7.25,False,True
12,1,1,58.0,0,0,26.55,False,True
432,3,1,28.0,1,0,16.1,False,True
44,2,1,3.0,1,2,41.5792,False,False
43,3,0,28.0,0,0,7.8958,False,False
330,1,1,16.0,0,1,57.9792,False,False
168,3,1,45.0,1,4,27.9,False,True
780,1,1,43.0,0,1,211.3375,False,True
538,1,1,30.0,0,0,106.425,False,False
736,3,0,28.5,0,0,16.1,False,True
500,3,0,24.0,0,0,7.7958,False,True
179,2,0,30.0,0,0,13.0,False,True
584,1,0,36.0,0,0,40.125,False,False
785,3,0,25.0,0,0,7.05,False,True
594,3,1,28.0,0,2,7.75,True,False
178,1,1,50.0,0,0,28.7125,False,False
645,3,1,0.75,2,1,19.2583,False,False
711,1,1,24.0,0,0,49.5042,False,False
616,2,1,24.0,1,2,65.0,False,True
384,1,1,35.0,1,0,52.0,False,True
258,1,1,30.0,0,0,86.5,False,True
735,2,0,23.0,0,0,13.0,False,True
336,3,0,28.0,0,0,7.8958,False,True
552,2,0,27.0,0,0,26.0,False,True
16,2,1,55.0,0,0,16.0,False,True
4,1,1,35.0,1,0,53.1,False,True
412,3,0,28.0,0,0,6.8583,True,False
257,1,1,28.0,0,0,79.2,False,False
452,3,0,28.0,1,0,19.9667,False,True
474,2,1,23.0,0,0,13.7917,False,False
698,3,1,28.0,0,0,7.7333,True,False
394,1,1,23.0,1,0,113.275,False,False
223,3,0,51.0,0,0,8.05,False,True
507,2,1,33.0,0,2,26.0,False,True
568,3,1,29.0,0,4,21.075,False,True
421,3,0,28.0,0,0,7.8958,False,False
325,3,0,28.0,8,2,69.55,False,True
531,2,1,2.0,1,1,26.0,False,True
10,2,1,14.0,1,0,30.0708,False,False
250,2,0,54.0,1,0,26.0,False,True
23,3,1,15.0,0,0,8.0292,True,False
357,1,1,22.0,0,1,55.0,False,True
222,2,0,27.0,0,0,13.0,False,True
602,3,0,28.0,0,0,7.8958,False,True
767,1,0,28.0,0,0,39.6,False,False
875,2,1,28.0,1,0,24.0,False,False
529,3,0,39.0,0,0,7.925,False,True
341,2,0,2.0,1,1,26.0,False,True
744,3,0,24.0,1,0,16.1,False,True
520,3,0,32.0,0,0,7.8958,False,True
204,3,0,45.5,0,0,7.225,False,False
238,2,1,8.0,0,2,26.25,False,True
94,3,0,26.0,1,2,20.575,False,True
731,1,1,29.0,0,0,211.3375,False,True
441,2,1,45.0,1,1,26.25,False,True
560,3,1,36.0,1,0,17.4,False,True
285,1,0,28.0,0,0,26.0,False,True
185,3,1,4.0,0,2,22.025,False,True
792,2,0,16.0,0,0,26.0,False,True
488,1,0,58.0,0,0,29.7,False,False
154,3,0,40.5,0,2,14.5,False,True
76,3,0,25.0,0,0,7.65,False,True
657,3,0,28.0,0,0,7.8958,False,True
632,3,0,51.0,0,0,7.0542,False,True
278,2,0,28.0,0,0,0.0,False,True
69,3,1,17.0,4,2,7.925,False,True
826,3,0,28.0,0,0,6.95,True,False
189,3,0,40.0,1,1,15.5,True,False
272,3,0,25.0,0,0,0.0,False,True
663,1,0,47.0,0,0,25.5875,False,True
712,1,0,28.0,0,0,26.55,False,True
237,2,0,44.0,1,0,26.0,False,True
89,1,1,23.0,3,2,263.0,False,True
758,2,0,18.0,0,0,11.5,False,True
118,2,0,29.0,1,0,21.0,False,True
126,3,0,12.0,1,0,11.2417,False,False
732,3,0,11.0,0,0,18.7875,False,False
290,3,1,22.0,0,0,7.75,True,False
239,2,0,19.0,0,0,10.5,False,True
1,3,0,22.0,1,0,7.25,False,True
882,3,0,33.0,0,0,7.8958,False,True
468,1,0,56.0,0,0,26.55,False,True
828,2,0,1.0,0,2,37.0042,False,False
396,3,0,22.0,0,0,7.7958,False,True
532,3,0,28.0,0,0,7.2292,False,False
127,3,0,28.0,0,0,7.75,True,False
279,3,0,7.0,4,1,29.125,True,False
692,3,1,4.0,0,1,13.4167,False,False
117,3,0,70.5,0,0,7.75,True,False
229,2,0,18.0,0,0,13.0,False,True
623,3,0,20.0,1,1,15.7417,False,False
656,2,0,24.0,2,0,73.5,False,True
599,3,0,28.0,0,0,7.225,False,False
517,2,1,34.0,0,0,10.5,False,True
275,3,1,28.0,0,0,7.75,True,False
319,1,1,31.0,0,2,164.8667,False,True
607,3,0,30.0,0,0,7.8958,False,True
145,2,0,18.0,0,0,11.5,False,True
635,3,1,9.0,3,2,27.9,False,True
559,1,1,39.0,1,1,79.65,False,True
810,1,1,33.0,1,0,53.1,False,True
746,1,0,70.0,1,1,71.0,False,True
370,1,1,24.0,0,0,69.3,False,False
269,1,1,58.0,0,1,153.4625,False,True
624,3,0,21.0,0,0,7.8542,False,True
308,1,1,17.0,1,0,108.9,False,False
424,3,1,28.0,1,1,14.4,False,True
311,1,1,24.0,0,0,83.1583,False,False
355,3,0,28.0,0,0,7.225,False,False
47,3,0,28.0,1,0,15.5,True,False
350,3,0,42.0,0,0,8.6625,False,True
372,3,0,18.0,1,0,6.4958,False,True
480,3,1,2.0,0,1,12.2875,False,True
577,2,1,34.0,0,0,13.0,False,True
262,3,0,3.0,4,2,31.3875,False,True
196,1,1,58.0,0,0,146.5208,False,False
891,3,0,32.0,0,0,7.75,True,False
745,3,0,31.0,0,0,7.925,False,True
108,3,0,28.0,0,0,7.775,False,True
867,2,1,27.0,1,0,13.8583,False,False
60,3,0,11.0,5,2,46.9,False,True
659,2,0,23.0,0,0,13.0,False,True
264,1,0,40.0,0,0,0.0,False,True
569,3,0,28.0,0,0,7.2292,False,False
101,3,1,28.0,0,0,7.8958,False,True
444,2,1,28.0,0,0,13.0,False,True
491,3,0,28.0,1,0,19.9667,False,True
688,3,0,19.0,0,0,10.1708,False,True
800,3,1,30.0,1,1,24.15,False,True
641,3,0,20.0,0,0,7.8542,False,True
170,3,0,28.0,0,0,56.4958,False,True
180,3,0,36.0,0,0,0.0,False,True
305,3,0,28.0,0,0,8.05,False,True
342,1,1,24.0,3,2,263.0,False,True
58,3,0,28.5,0,0,7.2292,False,False
859,3,1,24.0,0,3,19.2583,False,False
150,2,0,42.0,0,0,13.0,False,True
125,1,0,54.0,0,1,77.2875,False,True
704,3,0,25.0,0,0,7.7417,True,False
51,3,0,7.0,4,1,39.6875,False,True
354,3,0,25.0,1,0,17.8,False,True
824,3,1,27.0,0,1,12.475,False,True
143,3,1,24.0,1,0,15.85,False,True
471,3,0,28.0,0,0,7.25,False,True
400,2,1,28.0,0,0,12.65,False,True
576,3,0,19.0,0,0,14.5,False,True
321,3,0,22.0,0,0,7.25,False,True
20,3,1,28.0,0,0,7.225,False,False
793,3,1,28.0,8,2,69.55,False,True
708,1,0,42.0,0,0,26.2875,False,True
724,2,0,50.0,0,0,13.0,False,True
408,2,0,3.0,1,1,18.75,False,True
558,1,0,28.0,0,0,227.525,False,False
39,3,1,18.0,2,0,18.0,False,True
176,3,0,18.0,1,1,7.8542,False,True
246,1,0,44.0,2,0,90.0,True,False
741,1,0,28.0,0,0,30.0,False,True
603,1,0,28.0,0,0,42.4,False,True
